strategy,n_labels,accuracy,macro_f1,f1_AGN,f1_STAR,f1_COMPACT_OBJECT
random,110,0.8291571753986332,0.6123523718682621,0.8439897698209718,0.8640350877192983,0.12903225806451613
random,130,0.8382687927107062,0.6371073102436249,0.8477157360406091,0.8761061946902655,0.1875
random,150,0.826879271070615,0.6335578749722178,0.8316326530612245,0.862144420131291,0.20689655172413793
random,170,0.8291571753986332,0.648703670525178,0.8238341968911918,0.8614072494669509,0.2608695652173913
random,190,0.8382687927107062,0.6589273981480235,0.8413098236775819,0.8627450980392157,0.2727272727272727
random,210,0.8496583143507973,0.6634073040722657,0.8535353535353535,0.8758169934640523,0.2608695652173913
random,230,0.8519362186788155,0.6347536522855052,0.8706467661691543,0.8736141906873615,0.16
random,250,0.8519362186788155,0.6437788085652605,0.8477157360406091,0.8836206896551724,0.2
random,270,0.8542141230068337,0.6386167675655843,0.850632911392405,0.8913043478260869,0.17391304347826086
random,290,0.8587699316628702,0.672757585230233,0.8571428571428571,0.888402625820569,0.2727272727272727
random,310,0.8656036446469249,0.6503625710426757,0.8608247422680413,0.8997867803837953,0.19047619047619047
random,330,0.8656036446469249,0.6485628963236806,0.8658227848101265,0.8980477223427332,0.18181818181818182
random,350,0.8473804100227791,0.6068583531266807,0.844559585492228,0.8851063829787233,0.09090909090909091
random,370,0.8656036446469249,0.6533245939844148,0.864321608040201,0.8956521739130435,0.2
random,390,0.8678815489749431,0.6787851142623372,0.8651399491094147,0.8984881209503239,0.2727272727272727
random,410,0.8724373576309795,0.6818394321900634,0.8695652173913043,0.9032258064516129,0.2727272727272727
random,430,0.8678815489749431,0.678943166373403,0.8664987405541562,0.8976034858387799,0.2727272727272727
random,450,0.8701594533029613,0.6842215017404691,0.8693467336683417,0.8976034858387799,0.2857142857142857
random,470,0.8792710706150342,0.7108609546633945,0.8791773778920309,0.9055793991416309,0.34782608695652173
random,490,0.8747152619589977,0.6837541214485947,0.8765743073047859,0.9019607843137255,0.2727272727272727
random,510,0.8838268792710706,0.690132643748604,0.8877805486284289,0.9098901098901099,0.2727272727272727
random,530,0.8861047835990888,0.6652091017103633,0.8916256157635468,0.9135254988913526,0.19047619047619047
random,550,0.876993166287016,0.6589686362604782,0.8817733990147784,0.9046563192904656,0.19047619047619047
random,570,0.8883826879271071,0.6932485283926623,0.8910891089108911,0.915929203539823,0.2727272727272727
random,590,0.8724373576309795,0.6822795519655166,0.8734491315136477,0.9006622516556292,0.2727272727272727
random,610,0.8792710706150342,0.7157683428686138,0.8790123456790123,0.9046563192904656,0.36363636363636365
random,630,0.8883826879271071,0.7271152315400102,0.8888888888888888,0.911504424778761,0.38095238095238093
random,650,0.8815489749430524,0.7173013761553148,0.8811881188118812,0.9070796460176991,0.36363636363636365
random,670,0.8906605922551253,0.7287011652024268,0.8916256157635468,0.9135254988913526,0.38095238095238093
random,690,0.8792710706150342,0.6907732567516245,0.8839506172839506,0.9026548672566371,0.2857142857142857
random,710,0.8724373576309795,0.6823410254304564,0.8740740740740741,0.9002217294900222,0.2727272727272727
random,730,0.8838268792710706,0.6979887171940152,0.8888888888888888,0.9050772626931567,0.3
random,750,0.8929384965831435,0.7040498187665222,0.8938271604938272,0.9183222958057395,0.3
random,770,0.8906605922551253,0.6947832722239901,0.8933002481389578,0.9183222958057395,0.2727272727272727
random,790,0.8883826879271071,0.6969035597977963,0.8910891089108911,0.9139072847682119,0.2857142857142857
random,810,0.876993166287016,0.6890726318817152,0.8768472906403941,0.9046563192904656,0.2857142857142857
random,830,0.8792710706150342,0.6907146680065099,0.8817733990147784,0.9046563192904656,0.2857142857142857
random,30,0.5421412300683371,0.43879694808688036,0.5534591194968553,0.6713286713286714,0.0916030534351145
random,50,0.6902050113895216,0.5196640020265942,0.6352201257861635,0.8198757763975155,0.1038961038961039
random,70,0.7517084282460137,0.5482115929680651,0.7209302325581395,0.8482328482328483,0.07547169811320754
random,90,0.8200455580865603,0.6138273635701424,0.8140161725067385,0.8879310344827587,0.13953488372093023
random,110,0.8132118451025057,0.6284515636918383,0.8052631578947368,0.8695652173913043,0.21052631578947367
random,130,0.8154897494305239,0.622577950251974,0.8170426065162907,0.8571428571428571,0.1935483870967742
random,150,0.806378132118451,0.5938329733612268,0.8138957816377171,0.856492027334852,0.1111111111111111
random,170,0.806378132118451,0.5940245082231539,0.81,0.8577878103837472,0.11428571428571428
